    1 3p4m A B
    2 3axl A B
    3 1gyw A B
    4 1hsa D E
    5 1hsa A D
    6 1ff5 A B
    7 3rgh A B
    8 3nms A B
    9 2a4c A B
   10 3nn8 A B
   11 1vge L H
   12 1dvf C D
   13 1dvf A B
   14 1dvf B C
   15 1dvf B D
   16 1dvf A D
   17 1dvf A C
   18 1vgk A B
   19 1bey L H
   20 4hc1 H L
   21 2yd7 A B
   22 2xkn A B
   23 3noi A B
   24 3npz B C
   25 5i1d A B
   26 3mxv L H
   27 5i18 L H
   28 1iqw L H
   29 3myz A B
   30 1e0o B D
   31 4idj H L
   32 3ntc L H
   33 3n1q C D
   34 1hwg B C
   35 1e42 A B
   36 3nvq A E
   37 1e4k B C
   38 1e4k A B
   39 1e4w H L
   40 1it9 L H
   41 1e4x I L
   42 1e4x H I
   43 1hxy A B
   44 1vpo L H
   45 1hzh H L
   46 3t0e A E
   47 3t0e B E
   48 3n50 A C
   49 3nzh L H
   50 1i1a C D
   51 1i1a A B
   52 3qp3 A B
   53 1ix2 A B
   54 1i3g L H
   55 1eaj A B
   56 3if1 A B
   57 3hns H L
   58 1eap A B
   59 1eba A B
   60 2p9r A B
   61 3o11 A B
   62 3o2v L H
   63 1ed3 A B
   64 1j05 H B
   65 1vsc A B
   66 3bik A B
   67 3bik B C
   68 4jkp H L
   69 1eeq A B
   70 3lcy C D
   71 3lcy A B
   72 3arb A B
   73 1efx D E
   74 3o4o C B
   75 1i75 A B
   76 1egj A H
   77 1j1o L H
   78 3ujt H L
   79 4gg6 A B
   80 4gg6 E F
   81 1i85 C D
   82 1i85 A B
   83 1i85 B D
   84 1ehl L H
   85 1i8i A B
   86 1i8l A C
   87 1i8l A B
   88 1i8m A B
   89 3o6k L H
   90 1i9i L H
   91 3o81 A B
   92 1ek3 A B
   93 1iai L I
   94 1iai L M
   95 1iai M I
   96 1iai H I
   97 1iai H M
   98 1iai L H
   99 1iak A B
  100 1ibg L H
  101 3s8w A B
  102 4eup H G
  103 1j86 A B
  104 1j88 B E
  105 1j88 A E
  106 1ieb C D
  107 1ifh L H
  108 3pwu A B
  109 1igc L H
  110 1igf L H
  111 1igi L H
  112 1igm L H
  113 1igt A B
  114 1igy B D
  115 3pwv D E
  116 1ii4 E H
  117 4jm2 A B
  118 4jm2 C D
  119 1ikf L H
  120 3s96 A B
  121 32c2 A B
  122 3n9g H L
  123 3oau H L
  124 3na9 L H
  125 3bis A B
