UniProt Name Gene Name  Protein SuperFamily
Q9NP84       TNFRSF12A  TNFSF                      
Q02223       TNFRSF17   TNFSF                      
P13236       CCL4       Misc selected              
Q96RJ3       TNFRSF13C  TNFSF                      
P04216       THY1       IgSF                       
O14931       NCR3       IgSF                       
Q6IA17       SIGIRR     IgSF                       
A8MXK1       VSTM5      IgSF                       
Q6UX27       VSTM1      IgSF                       
O75871       CEACAM4    IgSF                       
Q495A1       TIGIT      IgSF                       
Q9Y6W8       ICOS       IgSF                       
O75121       MFAP3L     IgSF                       
P40198       CEACAM3    IgSF                       
Q8NET5       NFAM1      IgSF                       
Q08722       CD47       IgSF                       
P25189       MPZ        IgSF                       
O95866       MPIG6B     ITIM                       
Q01151       CD83       IgSF                       
Q16653       MOG        IgSF                       
Q7Z692       CEACAM19   IgSF                       
O95976       IGSF6      IgSF                       
P16410       CTLA4      IgSF                       
Q96PL5       ERMAP      IgSF                       
O95297       MPZL1      IgSF                       
Q6UWV2       MPZL3      IgSF                       
Q7Z6A9       BTLA       IgSF                       
O60487       MPZL2      IgSF                       
Q96BF3       TMIGD2     IgSF                       
Q9UNG2       TNFSF18    TNFSF                      
P55082       MFAP3      IgSF                       
O60939       SCN2B      IgSF                       
O95971       CD160      IgSF                       
Q6ISS4       LAIR2      IgSF                       
Q8IWT1       SCN4B      IgSF                       
P23510       TNFSF4     TNFSF                      
A1L1A6       IGSF23     IgSF                       
A8K4G0       CD300LB    IgSF                       
P10747       CD28       IgSF                       
Q96E93       KLRG1      ITAM                       
Q8TDQ1       CD300LF    IgSF                       
Q969Z4       RELT       TNFSF                      
Q9NY72       SCN3B      IgSF                       
Q9Y5U5       TNFRSF18   TNFSF                      
Q9HAV5       EDA2R      TNFSF                      
P26715       KLRC1      ITAM                       
Q9NS68       TNFRSF19   TNFSF                      
Q07699       SCN1B      IgSF                       
P01579       IFNG       Misc selected              
Q6GTX8       LAIR1      IgSF                       
Q86SU0       ILDR1      IgSF                       
P41159       LEP        Misc selected              
Q6UXZ3       CD300LD    IgSF                       
Q86YW5       TREML1     IgSF                       
P25445       FAS        TNFSF                      
P10966       CD8B       IgSF                       
Q15116       PDCD1      IgSF                       
A6NJW9       CD8B2      IgSF                       
Q6UXN2       TREML4     IgSF                       
O14763       TNFRSF10B  TNFSF                      
P09564       CD7        IgSF                       
P32970       CD70       TNFSF                      
Q496F6       CD300E     IgSF                       
Q9NZC2       TREM2      IgSF                       
Q9UBN6       TNFRSF10D  TNFSF                      
Q8IW00       VSTM4      IgSF                       
P01732       CD8A       IgSF                       
Q9UNE0       EDAR       TNFSF                      
Q9H7M9       VSIR       IgSF                       
Q07011       TNFRSF9    TNFSF                      
Q08708       CD300C     IgSF                       
Q9UGN4       CD300A     IgSF                       
O95998       IL18BP     IgSF                       
Q92956       TNFRSF14   TNFSF                      
O14836       TNFRSF13B  TNFSF                      
Q71H61       ILDR2      IgSF                       
Q9H106       SIRPD      IgSF                       
Q9UMR7       CLEC4A     ITAM                       
Q86X29       LSR        IgSF                       
Q9NPF7       IL23A      Misc selected              
O95944       NCR2       IgSF                       
P01374       LTA        TNFSF                      
P26842       CD27       TNFSF                      
P32971       TNFSF8     TNFSF                      
Q9UKJ0       PILRB      IgSF                       
P25942       CD40       TNFSF                      
P31994       FCGR2B     IgSF                       
Q93038       TNFRSF25   TNFSF                      
P01375       TNF        TNFSF                      
P80188       LCN2       Misc selected              
Q9UKJ1       PILRA      IgSF                       
P48023       FASLG      TNFSF                      
O75015       FCGR3B     IgSF                       
P12319       FCER1A     IgSF                       
Q96N03       VSTM2L     IgSF                       
P31995       FCGR2C     IgSF                       
Q8TDQ0       HAVCR2     IgSF                       
O43557       TNFSF14    TNFSF                      
Q9BXN2       CLEC7A     ITAM                       
P05231       IL6        Misc selected              
Q92637       FCGR1B     IgSF                       
Q9Y6Q6       TNFRSF11A  TNFSF                      
P12318       FCGR2A     IgSF                       
P06729       CD2        IgSF                       
Q9BZM4       ULBP3      IgSF                       
Q9NP99       TREM1      IgSF                       
P43489       TNFRSF4    TNFSF                      
P19256       CD58       IgSF                       
Q9BZM5       ULBP2      IgSF                       
Q9BZM6       ULBP1      HLA                        
P19438       TNFRSF1A   TNFSF                      
Q5VY80       RAET1L     IgSF                       
Q6H3X3       RAET1G     IgSF                       
P09326       CD48       IgSF                       
Q6UXZ0       TMIGD1     IgSF                       
P08637       FCGR3A     IgSF                       
Q9UNN8       PROCR      HLA                        
O95150       TNFSF15    TNFSF                      
Q8TD07       RAET1E     IgSF                       
Q06643       LTB        TNFSF                      
Q6P7N7       TMEM81     IgSF                       
P36941       LTBR       TNFSF                      
P13598       ICAM2      IgSF                       
O75888       TNFSF13    TNFSF                      
Q9BQ51       PDCD1LG2   IgSF                       
P41217       CD200      IgSF                       
Q14002       CEACAM7    IgSF                       
Q9NQ25       SLAMF7     IgSF                       
Q9UIB8       CD84       IgSF                       
P41273       TNFSF9     TNFSF                      
Q96DU3       SLAMF6     IgSF                       
P24071       FCAR       IgSF                       
Q3KPI0       CEACAM21   IgSF                       
Q86YD3       TMEM25     IgSF                       
O14798       TNFRSF10C  TNFSF                      
O43508       TNFSF12    TNFSF                      
Q14CZ8       HEPACAM    IgSF                       
P33681       CD80       IgSF                       
Q7Z6M3       MILR1      IgSF                       
Q9BZW8       CD244      IgSF                       
P57087       JAM2       IgSF                       
Q9BX67       JAM3       IgSF                       
Q86XK7       VSIG1      IgSF                       
Q9P0V8       SLAMF8     IgSF                       
Q9Y624       F11R       IgSF                       
Q8TAG5       VSTM2A     IgSF                       
Q7Z3S9       NOTCH2NLA  NOTCHSF                    
Q99795       GPA33      IgSF                       
P29965       CD40LG     TNFSF                      
Q8TD46       CD200R1    IgSF                       
O00220       TNFRSF10A  TNFSF                      
Q13410       BTN1A1     IgSF                       
Q6Q8B3       CD200R1L   IgSF                       
P26992       CNTFR      IgSF                       
Q13291       SLAMF1     IgSF                       
Q8N109       KIR2DL5A   IgSF                       
Q8NHK3       KIR2DL5B   IgSF                       
Q9H6B4       CLMP       IgSF                       
P78310       CXADR      IgSF                       
Q14773       ICAM4      IgSF                       
Q96A28       SLAMF9     IgSF                       
Q9Y275       TNFSF13B   TNFSF                      
O00478       BTN3A3     IgSF                       
P78410       BTN3A2     IgSF                       
Q5DX21       IGSF11     IgSF                       
Q5SQ64       LY6G6F     IgSF                       
Q96AP7       ESAM       IgSF                       
Q96KV6       BTN2A3P    IgSF                       
B6A8C7       TARM1      IgSF                       
Q6UXE8       BTNL3      IgSF                       
Q7KYR7       BTN2A1     IgSF                       
Q96IQ7       VSIG2      IgSF                       
Q9NZQ7       CD274      IgSF                       
